UniProtKB:Q5VV16	FOXD4L5
UniProtKB:E7ETH6	ZNF587B
UniProtKB:P35548	MSX2
UniProtKB:Q9UPW0	FOXJ3
UniProtKB:Q12870	TCF15
UniProtKB:P15036	ETS2
UniProtKB:Q12857	NFIA
UniProtKB:Q12837	POU4F2
UniProtKB:P50458	LHX2
UniProtKB:Q12800	TFCP2
UniProtKB:A6NLW8	DUXA
UniProtKB:Q969W8	ZNF566
UniProtKB:Q02577	NHLH2
UniProtKB:Q02575	NHLH1
UniProtKB:P25208	NFYB
UniProtKB:Q02556	IRF8
UniProtKB:O15409	FOXP2
UniProtKB:Q9H8G1	ZNF430
UniProtKB:Q02548	PAX5
UniProtKB:P0DV77	TPRX2
UniProtKB:O14867	BACH1
UniProtKB:P35453	HOXD13
UniProtKB:P35452	HOXD12
UniProtKB:Q969J2	ZKSCAN4
UniProtKB:Q9H930	SP140L
UniProtKB:Q12778	FOXO1
UniProtKB:Q8N9L1	ZIC4
UniProtKB:P23771	GATA3
UniProtKB:P23769	GATA2
UniProtKB:P23760	PAX3
UniProtKB:P23759	PAX7
UniProtKB:Q9NX45	SOHLH2
UniProtKB:Q9NWS9	ZNF446
UniProtKB:O14529	CUX2
UniProtKB:Q9NX65	ZSCAN32
UniProtKB:Q01826	SATB1
UniProtKB:O14503	BHLHE40
UniProtKB:Q9GZX5	ZNF350
UniProtKB:Q9GZZ0	HOXD1
UniProtKB:Q96S65	CSRNP1
UniProtKB:Q9P2Z0	THAP10
UniProtKB:Q8N8Z8	ZNF441
UniProtKB:Q9P2Y4	ZNF219
UniProtKB:A0AVK6	E2F8
UniProtKB:A6NHT5	HMX3
UniProtKB:Q8N988	ZNF557
UniProtKB:Q8N972	ZNF709
UniProtKB:A6NI15	MSGN1
UniProtKB:Q6ZSZ6	TSHZ1
UniProtKB:P56693	SOX10
UniProtKB:Q96SC8	DMRTA2
UniProtKB:Q8N8L2	ZNF491
UniProtKB:Q8N8J6	ZNF615
UniProtKB:Q00978	IRF9
UniProtKB:Q07687	DLX2
UniProtKB:Q13342	SP140
UniProtKB:Q92858	ATOH1
UniProtKB:O95125	ZNF202
UniProtKB:Q8NA42	ZNF383
UniProtKB:Q02930	CREB5
UniProtKB:Q9UMQ3	BARX2
UniProtKB:Q9NQ03	SCRT2
UniProtKB:P35869	AHR
UniProtKB:Q9UN79	SOX13
UniProtKB:P15336	ATF2
UniProtKB:Q96KN3	PKNOX2
UniProtKB:O95096	NKX2-2
UniProtKB:O95076	ALX3
UniProtKB:Q9C009	FOXQ1
UniProtKB:Q06730	ZNF33A
UniProtKB:P23409	MYF6
UniProtKB:Q9BXG8	SPZ1
UniProtKB:Q13568	IRF5
UniProtKB:Q9BXK1	KLF16
UniProtKB:Q494X3	ZNF404
UniProtKB:Q8N680	ZBTB2
UniProtKB:P41182	BCL6
UniProtKB:Q8TF47	ZFP90
UniProtKB:Q8N5J4	SPIC
UniProtKB:Q00653	NFKB2
UniProtKB:Q8N5A5	ZGPAT
UniProtKB:Q12948	FOXC1
UniProtKB:A6NP11	ZNF716
UniProtKB:Q9UIH9	KLF15
UniProtKB:Q9NQL9	DMRT3
UniProtKB:Q14209	E2F2
UniProtKB:P35789	ZNF93
UniProtKB:P19419	ELK1
UniProtKB:P40426	PBX3
UniProtKB:P40425	PBX2
UniProtKB:P40424	PBX1
UniProtKB:Q6QHK4	FIGLA
UniProtKB:P35716	SOX11
UniProtKB:P35713	SOX18
UniProtKB:P35712	SOX6
UniProtKB:P35711	SOX5
UniProtKB:Q9UNY5	ZNF232
UniProtKB:Q9NR83	SLC2A4RG
UniProtKB:Q6P280	ZNF529
UniProtKB:Q9NQX6	ZNF331
UniProtKB:A8K0S8	MEIS3P2
UniProtKB:Q9C0F3	ZNF436
UniProtKB:Q9NQZ8	ZNF71
UniProtKB:P25490	YY1
UniProtKB:Q6ZN19	ZNF841
UniProtKB:Q9C0K0	BCL11B
UniProtKB:P58012	FOXL2
UniProtKB:Q96LW9	ZSCAN31
UniProtKB:Q6P1N0	CC2D1A
UniProtKB:Q6P1L6	ZNF343
UniProtKB:Q14188	TFDP2
UniProtKB:Q14186	TFDP1
UniProtKB:Q9NRE2	TSHZ2
UniProtKB:Q6ZN79	ZNF705A
UniProtKB:Q12772	SREBF2
UniProtKB:Q9NU63	ZFP57
UniProtKB:Q969G2	LHX4
UniProtKB:P57082	TBX4
UniProtKB:P57073	SOX8
UniProtKB:P57071	PRDM15
UniProtKB:Q9BRJ9	MESP1
UniProtKB:P41225	SOX3
UniProtKB:P41235	HNF4A
UniProtKB:Q02447	SP3
UniProtKB:Q02446	SP4
UniProtKB:P35398	RORA
UniProtKB:O14770	MEIS2
UniProtKB:Q9UJU3	ZNF112
UniProtKB:O14709	ZNF197
UniProtKB:P09629	HOXB7
UniProtKB:P09630	HOXC6
UniProtKB:Q9P1Z0	ZBTB4
UniProtKB:P13378	HOXD8
UniProtKB:Q8N895	ZNF366
UniProtKB:Q8N883	ZNF614
UniProtKB:Q9P255	ZNF492
UniProtKB:Q8N7U7	TPRX1
UniProtKB:Q02086	SP2
UniProtKB:Q02080	MEF2B
UniProtKB:Q02078	MEF2A
UniProtKB:O00110	OVOL3
UniProtKB:P08651	NFIC
UniProtKB:Q8N7R0	NANOGP1
UniProtKB:Q8N7Q3	ZNF676
UniProtKB:Q9HBZ2	ARNT2
UniProtKB:Q4G112	HSF5
UniProtKB:Q8N7K0	ZNF433
UniProtKB:Q96IT1	ZNF496
UniProtKB:A6NGD5	ZSCAN5C
UniProtKB:Q8N7G0	POU5F2
UniProtKB:Q9NYT6	ZNF226
UniProtKB:P23511	NFYA
UniProtKB:P18850	ATF6
UniProtKB:P18848	ATF4
UniProtKB:P18847	ATF3
UniProtKB:P18846	ATF1
UniProtKB:P78414	IRX1
UniProtKB:P78424	POU6F2
UniProtKB:Q3MJ62	ZSCAN23
UniProtKB:Q8N782	ZNF525
UniProtKB:A6NFQ7	DPRX
UniProtKB:Q9P0T4	ZNF581
UniProtKB:Q00613	HSF1
UniProtKB:A6NDX5	ZNF840P
UniProtKB:P41212	ETV6
UniProtKB:Q9BYN7	ZNF341
UniProtKB:Q8N4W9	ZNF808
UniProtKB:A6NDR6	MEIS3P1
UniProtKB:P13056	NR2C1
UniProtKB:Q92908	GATA6
UniProtKB:O00409	FOXN3
UniProtKB:Q6N043	ZNF280D
UniProtKB:Q7Z4V0	ZNF438
UniProtKB:Q3KP31	ZNF791
UniProtKB:A2RU54	HMX2
UniProtKB:P11831	SRF
UniProtKB:Q00577	PURA
UniProtKB:O94916	NFAT5
UniProtKB:Q14119	VEZF1
UniProtKB:P35680	HNF1B
UniProtKB:Q9NS37	CREBZF
UniProtKB:P15173	MYOG
UniProtKB:P15172	MYOD1
UniProtKB:P35638	DDIT3
UniProtKB:Q12986	NFX1
UniProtKB:Q8HWS3	RFX6
UniProtKB:A6NNA5	DRGX
UniProtKB:Q12968	NFATC3
UniProtKB:Q12952	FOXL1
UniProtKB:Q12951	FOXI1
UniProtKB:Q12950	FOXD4
UniProtKB:Q12947	FOXF2
UniProtKB:Q12946	FOXF1
UniProtKB:B4DXR9	ZNF732
UniProtKB:P50553	ASCL1
UniProtKB:P50549	ETV1
UniProtKB:P50548	ERF
UniProtKB:P50539	MXI1
UniProtKB:B7ZLF3	LOC728743
UniProtKB:Q96N77	ZNF641
UniProtKB:A6NMT0	DBX1
UniProtKB:A6NN14	ZNF729
UniProtKB:P50222	MEOX2
UniProtKB:P50221	MEOX1
UniProtKB:Q499Z4	ZNF672
UniProtKB:P50219	MNX1
UniProtKB:Q86UP3	ZFHX4
UniProtKB:A6NK75	ZNF98
UniProtKB:P13682	ZNF35
UniProtKB:P14316	IRF2
UniProtKB:A6NJT0	UNCX
UniProtKB:P13631	RARG
UniProtKB:A6NJL1	ZSCAN5B
UniProtKB:P55771	PAX9
UniProtKB:Q9HAK2	EBF2
UniProtKB:A6NJG6	ARGFX
UniProtKB:O14628	ZNF195
UniProtKB:Q07869	PPARA
UniProtKB:Q15319	POU4F3
UniProtKB:P01106	MYC
UniProtKB:Q8TF32	ZNF431
UniProtKB:Q9UEG4	ZNF629
UniProtKB:P43268	ETV4
UniProtKB:Q8TF68	ZNF384
UniProtKB:Q99583	MNT
UniProtKB:Q99593	TBX5
UniProtKB:Q99594	TEAD3
UniProtKB:Q8WYN3	CSRNP3
UniProtKB:Q92886	NEUROG1
UniProtKB:O15535	ZSCAN9
UniProtKB:P11308	ERG
UniProtKB:Q15853	USF2
UniProtKB:Q8WYA1	BMAL2
UniProtKB:C9JN71	ZNF878
UniProtKB:Q33E94	RFX4
UniProtKB:Q5TGS1	HES3
UniProtKB:Q6AHZ1	ZNF518A
UniProtKB:Q53GI3	ZNF394
UniProtKB:Q8TA94	ZNF563
UniProtKB:Q14190	SIM2
UniProtKB:P01100	FOS
UniProtKB:Q99853	FOXB1
UniProtKB:Q99811	PRRX2
UniProtKB:Q8WVJ9	TWIST2
UniProtKB:P28324	ELK4
UniProtKB:Q15583	TGIF1
UniProtKB:P28347	TEAD1
UniProtKB:Q15562	TEAD2
UniProtKB:Q15561	TEAD4
UniProtKB:P85037	FOXK1
UniProtKB:Q5TA89	HES5
UniProtKB:P48443	RXRG
UniProtKB:P17481	HOXB8
UniProtKB:P48436	SOX9
UniProtKB:P48431	SOX2
UniProtKB:O00634	NTN3
UniProtKB:A0A1W2PQL4	ZNF722
UniProtKB:Q8WUU4	ZNF296
UniProtKB:Q13886	KLF9
UniProtKB:P28698	MZF1
UniProtKB:Q8N393	ZNF786
UniProtKB:Q8TBJ5	FEZF2
UniProtKB:O75362	ZNF217
UniProtKB:Q9UMR3	TBX20
UniProtKB:Q8N2R0	OSR2
UniProtKB:Q7RTV3	ZNF367
UniProtKB:Q7Z398	ZNF550
UniProtKB:Q7RTU5	ASCL5
UniProtKB:Q7RTU4	BHLHA9
UniProtKB:Q7RTU0	TCF24
UniProtKB:Q8TF20	ZNF721
UniProtKB:Q03936	ZNF92
UniProtKB:Q7RTS3	PTF1A
UniProtKB:Q7RTS1	BHLHA15
UniProtKB:Q05925	EN1
UniProtKB:P31270	HOXA11
UniProtKB:Q92570	NR4A3
UniProtKB:Q8N2I2	ZNF619
UniProtKB:Q99592	ZBTB18
UniProtKB:Q9HBT7	ZNF287
UniProtKB:A8K8V0	ZNF785
UniProtKB:Q99697	PITX2
UniProtKB:Q13952	NFYC
UniProtKB:P0CJ86	DUX4L3
UniProtKB:P0CJ89	DUX4L6
UniProtKB:Q99941	ATF6B
UniProtKB:Q99743	NPAS2
UniProtKB:Q99742	NPAS1
UniProtKB:Q99732	LITAF
UniProtKB:Q05215	EGR4
UniProtKB:Q99717	SMAD5
UniProtKB:A1YPR0	ZBTB7C
UniProtKB:Q15475	SIX1
UniProtKB:Q8WXB4	ZNF606
UniProtKB:A0A1W2PQ73	ERFL
UniProtKB:P48382	RFX5
UniProtKB:P48380	RFX3
UniProtKB:Q15406	NR6A1
UniProtKB:P48378	RFX2
UniProtKB:O00570	SOX1
UniProtKB:Q6V9R5	ZNF562
UniProtKB:P36956	SREBF1
UniProtKB:Q92988	DLX4
UniProtKB:Q92985	IRF7
UniProtKB:O95718	ESRRB
UniProtKB:P48742	LHX1
UniProtKB:P21506	ZNF10
UniProtKB:Q99608	NDN
UniProtKB:Q99612	KLF6
UniProtKB:Q8WXT5	FOXD4L4
UniProtKB:Q8WY36	BBX
UniProtKB:Q05516	ZBTB16
UniProtKB:Q99684	GFI1
UniProtKB:Q99687	MEIS3
UniProtKB:Q15797	SMAD1
UniProtKB:Q15796	SMAD2
UniProtKB:Q96LU7	MYRFL
UniProtKB:Q15784	NEUROD2
UniProtKB:Q15776	ZKSCAN8
UniProtKB:Q63HK3	ZKSCAN2
UniProtKB:Q10587	TEF
UniProtKB:Q8N1W2	ZNF710
UniProtKB:P08047	SP1
UniProtKB:Q8N1L9	BATF2
UniProtKB:P16415	ZNF823
UniProtKB:P51815	ZNF75D
UniProtKB:P51826	AFF3
UniProtKB:P51858	HDGF
UniProtKB:Q8N0Y2	ZNF444
UniProtKB:Q8N196	SIX5
UniProtKB:O75469	NR1I2
UniProtKB:Q05195	MXD1
UniProtKB:Q6IV72	ZNF425
UniProtKB:Q92949	FOXJ1
UniProtKB:Q00056	HOXA4
UniProtKB:Q8WTR7	ZNF473
UniProtKB:Q99626	CDX2
UniProtKB:Q99607	ELF4
UniProtKB:P31314	TLX1
UniProtKB:Q3SYB3	FOXD4L6
UniProtKB:Q8IZC7	ZNF101
UniProtKB:Q15365	PCBP1
UniProtKB:P17535	JUND
UniProtKB:Q3C1V8	BSX
UniProtKB:P0CJ90	DUX4L7
UniProtKB:P0CJ88	DUX4L5
UniProtKB:P0CJ87	DUX4L4
UniProtKB:P0CJ85	DUX4L2
UniProtKB:P0CJ78	ZNF865
UniProtKB:Q15329	E2F5
UniProtKB:Q03938	ZNF90
UniProtKB:Q15744	CEBPE
